Item_identifier,item_weight,Item_fat_content,Item_visibility,Item_type,Item_mpr,Outlet_identifier,Outlet_establishment_year,Outlet_size,Outlet_location_type,Outlet_type,item_outlet_sales
DRA12,11.60000,LF,0.000000000000,"Soft Drinks",141.915400000000,OUT035,2004,Small,"Tier 2","Supermarket Type1",992.7078000
DRA12,11.60000,"Low Fat",0.000000000000,"Soft Drinks",141.615400000000,OUT045,2002,Small,"Tier 2","Supermarket Type1",3829.0158000
DRA12,11.60000,"Low Fat",0.040911824000,"Soft Drinks",142.315400000000,OUT013,1987,High,"Tier 3","Supermarket Type1",2552.6772000
DRA12,11.60000,"Low Fat",0.041112694000,"Soft Drinks",142.015400000000,OUT018,2009,Medium,"Tier 3","Supermarket Type2",850.8924000
DRA12,11.60000,"Low Fat",0.041177505000,"Soft Drinks",140.315400000000,OUT017,2007,Small,"Tier 2","Supermarket Type1",2552.6772000
DRA12,11.60000,"Low Fat",0.068535039000,"Soft Drinks",143.015400000000,OUT010,1998,Small,"Tier 3","Grocery Store",283.6308000
DRA24,19.35000,Regular,0.039895009000,"Soft Drinks",162.486800000000,OUT013,1987,High,"Tier 3","Supermarket Type1",4422.2436000
DRA24,19.35000,Regular,0.039920687000,"Soft Drinks",163.386800000000,OUT035,2004,Small,"Tier 2","Supermarket Type1",3439.5228000
DRA24,19.35000,Regular,0.039990314000,"Soft Drinks",165.086800000000,OUT049,1999,Medium,"Tier 1","Supermarket Type1",982.7208000
DRA24,19.35000,Regular,0.040154087000,"Soft Drinks",164.686800000000,OUT017,2007,High,"Tier 2","Supermarket Type1",1146.5076000
DRA24,19.35000,Regular,0.066831682000,"Soft Drinks",163.886800000000,OUT010,1998,High,"Tier 3","Grocery Store",327.5736000
DRA59,8.27000,Regular,0.000000000000,"Soft Drinks",183.292400000000,OUT017,2007,High,"Tier 2","Supermarket Type1",2406.2012000
DRA59,8.27000,Regular,0.127821472000,"Soft Drinks",185.992400000000,OUT013,1987,High,"Tier 3","Supermarket Type1",555.2772000
DRA59,8.27000,Regular,0.127927931000,"Soft Drinks",184.892400000000,OUT046,1997,Small,"Tier 1","Supermarket Type1",4442.2176000
DRA59,8.27000,Regular,0.128126825000,"Soft Drinks",183.692400000000,OUT049,1999,Medium,"Tier 1","Supermarket Type1",1295.6468000
DRA59,8.27000,Regular,0.128449055000,"Soft Drinks",186.592400000000,OUT018,2009,Medium,"Tier 3","Supermarket Type2",4442.2176000
DRA59,8.27000,Regular,0.214125129000,"Soft Drinks",183.992400000000,OUT010,1998,High,"Tier 3","Grocery Store",185.0924000
DRB01,7.39000,"Low Fat",0.082170947000,"Soft Drinks",190.953000000000,OUT013,1987,High,"Tier 3","Supermarket Type1",2466.7890000
DRB01,7.39000,"Low Fat",0.082367244000,"Soft Drinks",187.753000000000,OUT049,1999,Medium,"Tier 1","Supermarket Type1",1518.0240000
DRB13,6.11500,Regular,0.007038478000,"Soft Drinks",189.253000000000,OUT013,1987,High,"Tier 3","Supermarket Type1",3605.3070000
DRB13,6.11500,Regular,0.007043008000,"Soft Drinks",190.353000000000,OUT035,2004,Small,"Tier 2","Supermarket Type1",569.2590000
DRB13,6.11500,Regular,0.007055292000,"Soft Drinks",188.653000000000,OUT049,1999,Medium,"Tier 1","Supermarket Type1",3605.3070000
